insee,no_court,changements,date_notification,id_CAAU,a_compter_du,id_CAAU_old,jusqu_au
version=1.537,chrono=4336041454,dept=42,nb_communes=327,nb_CAAU=19,nb_chgts_pdaa=0,nb_chgts_caau=0,
42001,15,0,01/01/2000,FR420SAMA,,,
42001,17,0,01/01/2000,FR420PNAB,,,
42001,18,0,01/01/2000,FR420SDIA,,,
42001,112,0,01/01/2000,FR420SDIC,,,
42001,115,0,01/01/2000,FR420C115,,,
42001,191,0,01/01/2000,FR690C191,,,
42001,196,0,01/01/2000,FR620C196,,,
42001,114,0,01/01/2000,FR380C114,,,
42001,119,0,01/01/2000,FR750C119,,,
42001,116000,0,01/01/2000,FR940C116,,,
42001,197,0,01/01/2000,FR920C197,,,
42001,116117,0,01/01/2000,FR420PDSA,,,
42001,1121,0,01/01/2000,FR790SNSA,,,
42001,1122,0,01/01/2000,FR790SNSB,,,
42001,116111,0,01/01/2000,FR750GPED,,,
42002,15,0,01/01/2000,FR420SAMA,,,
42002,17,0,01/01/2000,FR420PNAB,,,
42002,18,0,01/01/2000,FR420SDIA,,,
42002,112,0,01/01/2000,FR420SDIC,,,
42002,115,0,01/01/2000,FR420C115,,,
42002,191,0,01/01/2000,FR690C191,,,
42002,196,0,01/01/2000,FR620C196,,,
42002,114,0,01/01/2000,FR380C114,,,
42002,119,0,01/01/2000,FR750C119,,,
42002,116000,0,01/01/2000,FR940C116,,,
42002,197,0,01/01/2000,FR920C197,,,
42002,116117,0,01/01/2000,FR420PDSA,,,
42002,1121,0,01/01/2000,FR790SNSA,,,
42002,1122,0,01/01/2000,FR790SNSB,,,
42002,116111,0,01/01/2000,FR750GPED,,,
42003,15,0,01/01/2000,FR420SAMB,,,
42003,17,0,01/01/2000,FR420PNAB,,,
42003,18,0,01/01/2000,FR420SDIB,,,
42003,112,0,01/01/2000,FR420SDIC,,,
42003,115,0,01/01/2000,FR420C115,,,
42003,191,0,01/01/2000,FR690C191,,,
42003,196,0,01/01/2000,FR620C196,,,
42003,114,0,01/01/2000,FR380C114,,,
42003,119,0,01/01/2000,FR750C119,,,
42003,116000,0,01/01/2000,FR940C116,,,
42003,197,0,01/01/2000,FR920C197,,,
42003,116117,0,01/01/2000,FR420PDSB,,,
42003,1121,0,01/01/2000,FR790SNSA,,,
42003,1122,0,01/01/2000,FR790SNSB,,,
42003,116111,0,01/01/2000,FR750GPED,,,
42004,15,0,01/01/2000,FR420SAMB,,,
42004,17,0,01/01/2000,FR420PNAB,,,
42004,18,0,01/01/2000,FR420SDIB,,,
42004,112,0,01/01/2000,FR420SDIC,,,
42004,115,0,01/01/2000,FR420C115,,,
42004,191,0,01/01/2000,FR690C191,,,
42004,196,0,01/01/2000,FR620C196,,,
42004,114,0,01/01/2000,FR380C114,,,
42004,119,0,01/01/2000,FR750C119,,,
42004,116000,0,01/01/2000,FR940C116,,,
42004,197,0,01/01/2000,FR920C197,,,
42004,116117,0,01/01/2000,FR420PDSB,,,
42004,1121,0,01/01/2000,FR790SNSA,,,
42004,1122,0,01/01/2000,FR790SNSB,,,
42004,116111,0,01/01/2000,FR750GPED,,,
42005,15,0,01/01/2000,FR420SAMA,,,
42005,17,0,01/01/2000,FR420PNAB,,,
42005,18,0,01/01/2000,FR420SDIA,,,
42005,112,0,01/01/2000,FR420SDIC,,,
42005,115,0,01/01/2000,FR420C115,,,
42005,191,0,01/01/2000,FR690C191,,,
42005,196,0,01/01/2000,FR620C196,,,
42005,114,0,01/01/2000,FR380C114,,,
42005,119,0,01/01/2000,FR750C119,,,
42005,116000,0,01/01/2000,FR940C116,,,
42005,197,0,01/01/2000,FR920C197,,,
42005,116117,0,01/01/2000,FR420PDSA,,,
42005,1121,0,01/01/2000,FR790SNSA,,,
42005,1122,0,01/01/2000,FR790SNSB,,,
42005,116111,0,01/01/2000,FR750GPED,,,
42006,15,0,01/01/2000,FR420SAMA,,,
42006,17,0,01/01/2000,FR420PNAB,,,
42006,18,0,01/01/2000,FR420SDIA,,,
42006,112,0,01/01/2000,FR420SDIC,,,
42006,115,0,01/01/2000,FR420C115,,,
42006,191,0,01/01/2000,FR690C191,,,
42006,196,0,01/01/2000,FR620C196,,,
42006,114,0,01/01/2000,FR380C114,,,
42006,119,0,01/01/2000,FR750C119,,,
42006,116000,0,01/01/2000,FR940C116,,,
42006,197,0,01/01/2000,FR920C197,,,
42006,116117,0,01/01/2000,FR420PDSA,,,
42006,1121,0,01/01/2000,FR790SNSA,,,
42006,1122,0,01/01/2000,FR790SNSB,,,
42006,116111,0,01/01/2000,FR750GPED,,,
42007,15,0,01/01/2000,FR420SAMB,,,
42007,17,0,01/01/2000,FR420PNAB,,,
42007,18,0,01/01/2000,FR420SDIB,,,
42007,112,0,01/01/2000,FR420SDIC,,,
42007,115,0,01/01/2000,FR420C115,,,
42007,191,0,01/01/2000,FR690C191,,,
42007,196,0,01/01/2000,FR620C196,,,
42007,114,0,01/01/2000,FR380C114,,,
42007,119,0,01/01/2000,FR750C119,,,
42007,116000,0,01/01/2000,FR940C116,,,
42007,197,0,01/01/2000,FR920C197,,,
42007,116117,0,01/01/2000,FR420PDSB,,,
42007,1121,0,01/01/2000,FR790SNSA,,,
42007,1122,0,01/01/2000,FR790SNSB,,,
42007,116111,0,01/01/2000,FR750GPED,,,
42008,15,0,01/01/2000,FR420SAMB,,,
42008,17,0,01/01/2000,FR420PNAB,,,
42008,18,0,01/01/2000,FR420SDIB,,,
42008,112,0,01/01/2000,FR420SDIC,,,
42008,115,0,01/01/2000,FR420C115,,,
42008,191,0,01/01/2000,FR690C191,,,
42008,196,0,01/01/2000,FR620C196,,,
42008,114,0,01/01/2000,FR380C114,,,
42008,119,0,01/01/2000,FR750C119,,,
42008,116000,0,01/01/2000,FR940C116,,,
42008,197,0,01/01/2000,FR920C197,,,
42008,116117,0,01/01/2000,FR420PDSB,,,
42008,1121,0,01/01/2000,FR790SNSA,,,
42008,1122,0,01/01/2000,FR790SNSB,,,
42008,116111,0,01/01/2000,FR750GPED,,,
42009,15,0,01/01/2000,FR420SAMA,,,
42009,17,0,01/01/2000,FR420PNAB,,,
42009,18,0,01/01/2000,FR420SDIA,,,
42009,112,0,01/01/2000,FR420SDIC,,,
42009,115,0,01/01/2000,FR420C115,,,
42009,191,0,01/01/2000,FR690C191,,,
42009,196,0,01/01/2000,FR620C196,,,
42009,114,0,01/01/2000,FR380C114,,,
42009,119,0,01/01/2000,FR750C119,,,
42009,116000,0,01/01/2000,FR940C116,,,
42009,197,0,01/01/2000,FR920C197,,,
42009,116117,0,01/01/2000,FR420PDSA,,,
42009,1121,0,01/01/2000,FR790SNSA,,,
42009,1122,0,01/01/2000,FR790SNSB,,,
42009,116111,0,01/01/2000,FR750GPED,,,
42010,15,0,01/01/2000,FR420SAMA,,,
42010,17,0,01/01/2000,FR420PNAB,,,
42010,18,0,01/01/2000,FR420SDIA,,,
42010,112,0,01/01/2000,FR420SDIC,,,
42010,115,0,01/01/2000,FR420C115,,,
42010,191,0,01/01/2000,FR690C191,,,
42010,196,0,01/01/2000,FR620C196,,,
42010,114,0,01/01/2000,FR380C114,,,
42010,119,0,01/01/2000,FR750C119,,,
42010,116000,0,01/01/2000,FR940C116,,,
42010,197,0,01/01/2000,FR920C197,,,
42010,116117,0,01/01/2000,FR420PDSA,,,
42010,1121,0,01/01/2000,FR790SNSA,,,
42010,1122,0,01/01/2000,FR790SNSB,,,
42010,116111,0,01/01/2000,FR750GPED,,,
42011,15,0,01/01/2000,FR420SAMA,,,
42011,17,0,01/01/2000,FR420PNAB,,,
42011,18,0,01/01/2000,FR420SDIB,,,
42011,112,0,01/01/2000,FR420SDIC,,,
42011,115,0,01/01/2000,FR420C115,,,
42011,191,0,01/01/2000,FR690C191,,,
42011,196,0,01/01/2000,FR620C196,,,
42011,114,0,01/01/2000,FR380C114,,,
42011,119,0,01/01/2000,FR750C119,,,
42011,116000,0,01/01/2000,FR940C116,,,
42011,197,0,01/01/2000,FR920C197,,,
42011,116117,0,01/01/2000,FR420PDSA,,,
42011,1121,0,01/01/2000,FR790SNSA,,,
42011,1122,0,01/01/2000,FR790SNSB,,,
42011,116111,0,01/01/2000,FR750GPED,,,
42012,15,0,01/01/2000,FR420SAMA,,,
42012,17,0,01/01/2000,FR420PNAB,,,
42012,18,0,01/01/2000,FR420SDIA,,,
42012,112,0,01/01/2000,FR420SDIC,,,
42012,115,0,01/01/2000,FR420C115,,,
42012,191,0,01/01/2000,FR690C191,,,
42012,196,0,01/01/2000,FR620C196,,,
42012,114,0,01/01/2000,FR380C114,,,
42012,119,0,01/01/2000,FR750C119,,,
42012,116000,0,01/01/2000,FR940C116,,,
42012,197,0,01/01/2000,FR920C197,,,
42012,116117,0,01/01/2000,FR420PDSA,,,
42012,1121,0,01/01/2000,FR790SNSA,,,
42012,1122,0,01/01/2000,FR790SNSB,,,
42012,116111,0,01/01/2000,FR750GPED,,,
42013,15,0,01/01/2000,FR420SAMA,,,
42013,17,0,01/01/2000,FR420PNAB,,,
42013,18,0,01/01/2000,FR420SDIA,,,
42013,112,0,01/01/2000,FR420SDIC,,,
42013,115,0,01/01/2000,FR420C115,,,
42013,191,0,01/01/2000,FR690C191,,,
42013,196,0,01/01/2000,FR620C196,,,
42013,114,0,01/01/2000,FR380C114,,,
42013,119,0,01/01/2000,FR750C119,,,
42013,116000,0,01/01/2000,FR940C116,,,
42013,197,0,01/01/2000,FR920C197,,,
42013,116117,0,01/01/2000,FR420PDSA,,,
42013,1121,0,01/01/2000,FR790SNSA,,,
42013,1122,0,01/01/2000,FR790SNSB,,,
42013,116111,0,01/01/2000,FR750GPED,,,
42014,15,0,01/01/2000,FR420SAMB,,,
